                                List of relations
 Schema |                        Name                        | Type  |   Owner    
--------+----------------------------------------------------+-------+------------
 public | act_account                                        | table | matrr_prod
 public | atr_accepted_monkeys_to_tissue_requests            | table | matrr_prod
 public | atr_previously_accepted_monkeys_to_tissue_requests | table | matrr_prod
 public | auth_group                                         | table | matrr_prod
 public | auth_group_permissions                             | table | matrr_prod
 public | auth_message                                       | table | matrr_prod
 public | auth_permission                                    | table | matrr_prod
 public | auth_user                                          | table | matrr_prod
 public | auth_user_groups                                   | table | matrr_prod
 public | auth_user_user_permissions                         | table | matrr_prod
 public | bdy_bone_density                                   | table | matrr_prod
 public | bec_monkey_bec                                     | table | matrr_prod
 public | cat_tissue_categories                              | table | matrr_prod
 public | cbc_cohort_metadata                                | table | matrr_prod
 public | cbt_cohort_bouts                                   | table | matrr_prod
 public | cev_cohort_events                                  | table | matrr_prod
 public | chi_cohort_hormone_image                           | table | matrr_prod
 public | cig_cohort_image                                   | table | matrr_prod
 public | cod_cohort_datafile                                | table | matrr_prod
 public | coh_cohorts                                        | table | matrr_prod
 public | cpi_cohort_protein_image                           | table | matrr_prod
 public | crc_crh_challenge                                  | table | matrr_prod
 public | dat_data_file                                      | table | matrr_prod
 public | dex_drinking_experiments                           | table | matrr_prod
 public | dit_data_integration                               | table | matrr_prod
 public | django_admin_log                                   | table | matrr_prod
 public | django_content_type                                | table | matrr_prod
 public | django_migrations                                  | table | matrr_prod
 public | django_session                                     | table | matrr_prod
 public | django_site                                        | table | matrr_prod
 public | dsm_data_symposium                                 | table | matrr_prod
 public | dto_data_ownership                                 | table | matrr_prod
 public | dto_data_ownership_cohorts                         | table | matrr_prod
 public | ebt_experiment_bouts                               | table | matrr_prod
 public | ebt_experiment_bouts_cbt_set                       | table | matrr_prod
 public | edr_experiment_drinks                              | table | matrr_prod
 public | edr_experiment_drinks_cbt_set                      | table | matrr_prod
 public | eev_experiment_events                              | table | matrr_prod
 public | evt_event_types                                    | table | matrr_prod
 public | fmn_family_node                                    | table | matrr_prod
 public | fmr_family_relationship                            | table | matrr_prod
 public | ins_institutions                                   | table | matrr_prod
 public | matrr_event                                        | table | matrr_prod
 public | mbb_monkey_brain_block                             | table | matrr_prod
 public | mbb_monkey_brain_block_tissue_types                | table | matrr_prod
 public | mdi_mtd_image                                      | table | matrr_prod
 public | mep_monkey_ephys                                   | table | matrr_prod
 public | met_metabolite                                     | table | matrr_prod
 public | mex_monkey_exception                               | table | matrr_prod
 public | mhi_monkey_hormone_image                           | table | matrr_prod
 public | mhm_monkey_hormone                                 | table | matrr_prod
 public | mig_monkey_image                                   | table | matrr_prod
 public | mky_monkeys                                        | table | matrr_prod
 public | mmb_monkey_metabolite                              | table | matrr_prod
 public | mpi_monkey_protein_image                           | table | matrr_prod
 public | mpi_monkey_protein_image_proteins                  | table | matrr_prod
 public | mpn_monkey_protein                                 | table | matrr_prod
 public | mta_material_transfer                              | table | matrr_prod
 public | mtd_monkeys_to_drinking_experiments                | table | matrr_prod
 public | mtr_monkeys_to_tissue_requests                     | table | matrr_prod
 public | ncm_necropsy_summary                               | table | matrr_prod
 public | pro_protein                                        | table | matrr_prod
 public | ptc_publications_to_cohorts                        | table | matrr_prod
 public | pub_publications                                   | table | matrr_prod
 public | registration_registrationprofile                   | table | matrr_prod
 public | req_requests                                       | table | matrr_prod
 public | rna_rnarecord                                      | table | matrr_prod
 public | rtt_requests_to_tissue_types                       | table | matrr_prod
 public | rud_research_update                                | table | matrr_prod
 public | rvs_reviews                                        | table | matrr_prod
 public | shp_shipments                                      | table | matrr_prod
 public | south_migrationhistory                             | table | matrr_prod
 public | tiv_tissue_verification                            | table | matrr_prod
 public | tss_tissue_samples                                 | table | matrr_prod
 public | tst_tissue_types                                   | table | matrr_prod
 public | vtr_reviews_to_tissue_requests                     | table | matrr_prod
(76 rows)

