"Date of Birth","Old ID","Name","New ID","Birth Estimate","Animal #","Name","Alt Name","Cohort","Sub-cohort","Full Cohort Ref","Species","Gender","Non drinking","Name","This Subj Nec.","Incomplete Study"
"02/14/02",,,,,22770,"INIA","PARC",5,,"INIA Rhesus 5","rhesus","M","control","Oswald","05/06/10",
"04/01/02",,,,,23222,"INIA","PARC",5,,"INIA Rhesus 5","rhesus","M","control","Bane","05/07/10",
"03/11/04",,,,,24154,"INIA","PARC",5,,"INIA Rhesus 5","rhesus","M","control","Sprout","05/04/10",
"06/11/04",,,,,24340,"INIA","PARC",5,,"INIA Rhesus 5","rhesus","M","control","Harvey","05/04/10",
"10/30/04",,,,,24698,"INIA","PARC",5,,"INIA Rhesus 5","rhesus","M","control","E-Nigma","05/05/10",
,6810,"Hera",25074,,25074,"INIA","INIA CYNO 3-Practice",3,,"INIA Cyno 3","Cyno","F","practice","Hera","05/12/08",
"04/10/94",,,,"x",26206,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/22/09",
"04/10/95",,,,"x",26215,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/16/09",
"04/10/95",,,,"x",26216,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/14/09",
"04/10/95",,,,"x",26217,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/13/09",
"04/10/95",,,,"x",26218,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/21/09",
"04/10/93",,,,"x",26219,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/15/09",
"04/10/93",,,,"x",26220,"INIA","INIA CYNO 2-C",2,,"INIA Cyno 2","cyno","M","housing ctrl","NULL","01/20/09",
"04/10/94",,,,"x",26221,"INIA","INIA CYNO 2-C SA",2,,"INIA Cyno 2","cyno","M","control","Tiyo","04/22/09",
