matrr_number,monkey_number,Excel_Date_of_Collection,Text_Date_of_Collection,Tissue,Requested_by,Freezer_#,Shelf_#,Flag
10068,25700,12/14/2011,12/14/2011,"Adrenal (lt, rt) ",,4,1,
10068,25700,12/14/2011,12/14/2011,"Adrenal (lt, rt) ",,4,1,
10068,25700,12/14/2011,12/14/2011,Aorta (descending) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 10 ,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 12,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 13 ,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 14,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 24 ,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 25,Miles,4,1,
10068,25700,12/14/2011,12/14/2011,Area 25,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 32 ,Miles,4,1,
10068,25700,12/14/2011,12/14/2011,Area 32 ,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 46,,4,1,
10068,25700,12/14/2011,12/14/2011,Area 9 ,,4,1,
10068,25700,12/14/2011,12/14/2011,Bile ,,4,1,
10068,25700,12/14/2011,12/14/2011,Bone Marrow (From Femur) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Cerebellum (Anterior lobe) ,,4,1,
10068,25700,12/14/2011,12/14/2011,"Cerebellum (lt, rt)",,4,1,NEW TISSUE TYPE
10068,25700,12/14/2011,12/14/2011,Cerebellum (Posterior lobe) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Cerebellum (Vermis),,4,1,
10068,25700,12/14/2011,12/14/2011,Cerebrospinal fluid ,,4,1,
10068,25700,12/14/2011,12/14/2011,Colon,,4,1,
10068,25700,12/14/2011,12/14/2011,Cortex (Lateral orbital),,4,1,
10068,25700,12/14/2011,12/14/2011,Duodenum ,,4,1,
10068,25700,12/14/2011,12/14/2011,Esophagus ,,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Abdominal),,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Brown) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Mesenteric) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Pericardial),,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Perigonadal) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Retroperitoneal),,4,1,
10068,25700,12/14/2011,12/14/2011,Fat (Subcutaneous) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Gall bladder ,,4,1,
10068,25700,12/14/2011,12/14/2011,"Gonads (testes, ovaries)",,4,1,
10068,25700,12/14/2011,12/14/2011,"Gonads (testes, ovaries)",,4,1,
10068,25700,12/14/2011,12/14/2011,Hair (With skin) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Hair (Without skin) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Heart (Lt Atrium),,4,1,
10068,25700,12/14/2011,12/14/2011,Illium ,,4,1,
10068,25700,12/14/2011,12/14/2011,Jejunum ,,4,1,
10068,25700,12/14/2011,12/14/2011,"Kidney (lt, rt)",,4,1,
10068,25700,12/14/2011,12/14/2011,"Kidney (lt, rt)",,4,1,
10068,25700,12/14/2011,12/14/2011,Liver ,,4,1,
10068,25700,12/14/2011,12/14/2011,Lung (Accessory Lobe),,4,1,
10068,25700,12/14/2011,12/14/2011,Lung (Lt lower lobe) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Lung (Lt middle lobe) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Lung (Lt upper lobe),,4,1,
10068,25700,12/14/2011,12/14/2011,Lymph node (Axial) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Lymph node (Inguinal) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Lymph node (Inguinal) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Lymph node (Mesenteric),,4,1,
10068,25700,12/14/2011,12/14/2011,"Mammary Gland (lt, rt) ",,4,1,
10068,25700,12/14/2011,12/14/2011,"Mammary Gland (lt, rt) ",,4,1,
10068,25700,12/14/2011,12/14/2011,Medulla ,Welsh,4,1,
10068,25700,12/14/2011,12/14/2011,Muscle (Gastrocnemius),,4,1,
10068,25700,12/14/2011,12/14/2011,Muscle (Gastrocnemius),,4,1,
10068,25700,12/14/2011,12/14/2011,Muscle (Quadriceps) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Muscle (Quadriceps) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Nerve (Femoral) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Nerve (Femoral) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Nerve (Sciatic) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Nerve (Sciatic) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Olfactory bulb ,,4,1,
10068,25700,12/14/2011,12/14/2011,Pancreas ,,4,1,
10068,25700,12/14/2011,12/14/2011,Pituitary,,4,1,
10068,25700,12/14/2011,12/14/2011,Raphe ,,4,1,
10068,25700,12/14/2011,12/14/2011,Rectum ,,4,1,
10068,25700,12/14/2011,12/14/2011,Skin,,4,1,
10068,25700,12/14/2011,12/14/2011,Spinal cord (Cervical) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Spinal cord (Thoracic) ,,4,1,
10068,25700,12/14/2011,12/14/2011,Spleen ,,4,1,
