"corrected","Monkey","Monkey_number","Freezer Name","Location of Sample","Details:","Sample Quantity:","Quantity units:",,,,,,,,
"Adrenal (lt, rt)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Adrenal (lt, rt)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Aortic Arch","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Area 10","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 10","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 10","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 10","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 10","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 10","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 10","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 12","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 13","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 14","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 14","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 14","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
