Cohort,Animal,Date or Date Range Start,Date Range End,MATRR TissueType Name,Shelf,Drawer,Tower,Box #,Available samples (non reserved),Freezer name
0,, 2 , 3 ,4,5,6,7,8,9,10
INIA2,25086,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 9,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 24,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 25,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 32,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
