mky_id,cohort,mky_real_id,mky_name,mky_gender,mky_birthdate,weight,mky_drinking,mky_housing_control,mky_necropsy_start_date,mky_necropsy_start_date_comments,mky_necropsy_end_date,mky_necropsy_end_date_comments,mky_study_complete,mky_stress_model,mky_age_at_necropsy
152,INIA Cyno 2,26206,,M,4/10/94,,FALSE,TRUE,1/22/09,,,,TRUE,,14 yr 9 mo
153,INIA Cyno 2,26215,,M,4/10/95,,FALSE,TRUE,1/16/09,,,,TRUE,,13 yr 9 mo
154,INIA Cyno 2,26216,,M,4/10/95,,FALSE,TRUE,1/14/09,,,,TRUE,,13 yr 9 mo
155,INIA Cyno 2,26217,,M,4/10/95,,FALSE,TRUE,1/13/09,,,,TRUE,,13 yr 9 mo
156,INIA Cyno 2,26218,,M,4/10/95,,FALSE,TRUE,1/21/09,,,,TRUE,,13 yr 9 mo
157,INIA Cyno 2,26219,,M,4/10/93,,FALSE,TRUE,1/15/09,,,,TRUE,,15 yr 9 mo
158,INIA Cyno 2,26220,,M,4/10/93,,FALSE,TRUE,1/20/09,,,,TRUE,,15 yr 9 mo
12,INIA Cyno 2,25086,Pops,M,12/25/99,8.46,TRUE,FALSE,4/13/09,,,,TRUE,,9 yr 3 mo
13,INIA Cyno 2,25087,Andre,M,9/11/99,7.82,TRUE,FALSE,2/24/09,,,,FALSE,,9 yr 5 mo
14,INIA Cyno 2,25090,Thor,M,10/17/99,7.44,TRUE,FALSE,4/15/09,,,,TRUE,,9 yr 6 mo
15,INIA Cyno 2,25091,Schmidty,M,9/9/99,8.26,TRUE,FALSE,4/15/09,,,,TRUE,,9 yr 7 mo
16,INIA Cyno 2,25093,Peewee,M,10/17/99,8.42,TRUE,FALSE,4/16/09,,,,TRUE,,9 yr 6 mo
17,INIA Cyno 2,25094,Bilbo,M,9/1/99,8.22,TRUE,FALSE,4/16/09,,,,TRUE,,9 yr 7 mo
18,INIA Cyno 2,25095,Legolas,M,11/21/99,7.94,TRUE,FALSE,4/21/09,,,,TRUE,,9 yr 5 mo
19,INIA Cyno 2,25096,Milo,M,9/9/99,9,TRUE,FALSE,4/21/09,,,,TRUE,,9 yr 7 mo
20,INIA Cyno 2,25097,Coco,M,12/5/99,7.86,TRUE,FALSE,4/17/09,,,,TRUE,,9 yr 4 mo
21,INIA Cyno 2,25098,Teddy,M,6/11/99,8.84,TRUE,FALSE,4/17/09,,,,TRUE,,9 yr 10 mo
22,INIA Cyno 2,25099,Algernon,M,9/27/99,7.42,TRUE,FALSE,4/20/09,,,,TRUE,,9 yr 6 mo
23,INIA Cyno 2,25100,Iago,M,9/15/99,7.82,TRUE,FALSE,4/20/09,,,,TRUE,,9 yr 7 mo
25,INIA Cyno 2,26211,Ralph,M,4/10/93,,FALSE,FALSE,4/23/09,,,,TRUE,,16 yr 0 mo
26,INIA Cyno 2,26212,Roy,M,4/10/94,,FALSE,FALSE,4/22/09,,,,TRUE,,15 yr 0 mo
27,INIA Cyno 2,26221,Tiyo,M,4/10/94,,FALSE,FALSE,4/22/09,,,,TRUE,,15 yr 0 mo
24,INIA Cyno 2,26207,Arnold,M,4/10/94,,FALSE,FALSE,4/24/09,,,,TRUE,,15 yr 0 mo
36,INIA Cyno 3,25076,Penny,F,4/22/00,4.26,TRUE,FALSE,5/14/08,,,,TRUE,,8 yr 0 mo
37,INIA Cyno 3,25077,Zoe,F,1/18/00,3.36,TRUE,FALSE,5/14/08,,,,TRUE,,8 yr 3 mo
38,INIA Cyno 3,25080,Suzy,F,2/12/00,3.32,TRUE,FALSE,5/27/08,,,,TRUE,,8 yr 3 mo
39,INIA Cyno 3,25081,Sarah,F,3/6/00,3.7,TRUE,FALSE,5/28/08,,,,TRUE,,8 yr 2 mo
40,INIA Cyno 3,25084,Kitty,F,12/12/99,3.14,TRUE,FALSE,5/13/08,,,,TRUE,,8 yr 5 mo
41,INIA Cyno 3,25085,Smiley,F,12/20/99,4.14,TRUE,FALSE,5/13/08,,,,TRUE,,8 yr 4 mo
28,INIA Cyno 3,25058,Mabel,F,2/14/00,2.64,TRUE,FALSE,5/29/08,,,,TRUE,,8 yr 3 mo
29,INIA Cyno 3,25059,Elle,F,1/12/00,3.7,TRUE,FALSE,5/30/08,,,,TRUE,,8 yr 4 mo
31,INIA Cyno 3,25064,Lux,F,11/22/99,4.5,TRUE,FALSE,5/16/08,,,,TRUE,,8 yr 5 mo
32,INIA Cyno 3,25065,Lani,F,12/2/99,3.6,TRUE,FALSE,5/16/08,,,,TRUE,,8 yr 5 mo
34,INIA Cyno 3,25072,Sally,F,1/22/00,4.16,TRUE,FALSE,5/15/08,,,,TRUE,,8 yr 3 mo
35,INIA Cyno 3,25073,Nonny,F,2/16/00,5.1,TRUE,FALSE,5/15/08,,,,TRUE,,8 yr 3 mo
151,INIA Cyno 3,25074,Hera,F,7/18/96,,FALSE,FALSE,5/12/08,,,,TRUE,,11 yr 10 mo
30,INIA Cyno 3,25061,Mariposa,F,7/18/97,3.2,FALSE,FALSE,5/27/08,,,,TRUE,,10 yr 10 mo
