"SAMPLE_NAME","OHSU-00001","OHSU-00002","OHSU-00003","OHSU-00004","OHSU-00005","OHSU-00006","OHSU-00007","OHSU-00008","OHSU-00009","OHSU-00010","OHSU-00011","OHSU-00012","OHSU-00013","OHSU-00014","OHSU-00015","OHSU-00016","OHSU-00017","OHSU-00018","OHSU-00019","OHSU-00020","OHSU-00021","OHSU-00022","OHSU-00023","OHSU-00024","OHSU-00025","OHSU-00026","OHSU-00027","OHSU-00028","OHSU-00029","OHSU-00030"
"SAMPLE_ID",668519,668520,668521,668522,668523,668524,668525,668526,668527,668528,668529,668530,668531,668532,668533,668534,668535,668536,668537,668538,668539,668540,668541,668542,668543,668544,668545,668546,668547,668548
"CLIENT_IDENTIFIER","1-6886","1-6887","1-6888","1-6889","1-6891","1-6892","1-6893","1-6894","1-6895","1-6896","2-6886","2-6887","2-6888","2-6889","2-6891","2-6892","2-6893","2-6894","2-6895","2-6896","3-6886","3-6887","3-6888","3-6889","3-6891","3-6892","3-6893","3-6894","3-6895","3-6896"
"GROUP",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
"DATE","12/16/02","12/16/02","12/16/02","12/16/02","12/16/02","12/16/02","12/16/02","12/16/02","12/16/02","12/16/02","1/12/04","1/12/04","1/12/04","1/12/04","1/12/04","1/12/04","1/12/04","1/12/04","1/12/04","1/12/04","8/16/04","8/16/04","8/16/04","8/16/04","8/16/04","8/16/04","8/16/04","8/16/04","8/16/04","8/16/04"
"TREATMENT","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","ethanol naﾋve","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","6 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration","12 months ethanol self-administration"
"SUBJECT_ID",6886,6887,6888,6889,6891,6892,6893,6894,6895,6896,6886,6887,6888,6889,6891,6892,6893,6894,6895,6896,6886,6887,6888,6889,6891,6892,6893,6894,6895,6896
"GROUP_ID","Baseline","Baseline","Baseline","Baseline","Baseline","Baseline","Baseline","Baseline","Baseline","Baseline","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","6 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH","12 months EtOH"
"1,5-anhydroglucitol (1,5-AG)",0.340546,0.36318,1.011741,0.18496,0.98826,0.483914,0.907907,0.64658,0.187299,0.208745,1.140372,3.614837,4.702447,2.213085,3.030763,1.454132,7.930265,1.302787,0.266968,0.718128,0.60314,1.731072,1.914171,0.515593,2.462123,1.151701,3.491654,1.412202,0.327217,0.23569
"1,6-anhydroglucose",0.148627,0.056631,0.056631,0.102248,0.056631,0.056631,0.056631,0.056631,0.056631,0.056631,0.82006,1,0.646864,0.721703,0.510483,0.741845,1.073843,1.219246,0.84175,0.793142,0.890451,1.241192,1.758135,1.145489,1.448127,1.052524,2.177433,1.212038,1.170413,1.138455
"1-arachidonoylglycerophosphocholine*",0.653566,0.78722,0.97994,1.312671,0.849901,0.921272,0.903449,1.123204,1.126476,0.797266,0.804211,1.057309,1.064765,1.163853,1.108621,1.150725,0.587269,1.035931,0.974199,0.775334,0.932387,1.465353,1,1.231675,1.274704,1.451229,0.769789,0.587269,1.69245,0.877726
